PosX,PosY,SurfaceValue
4.39394,1.66667,0.217665
4.69697,1.66667,1.36127
0.757576,-1.36364,0.11747
-1.06061,-4.09091,0
-4.39394,1.36364,1.61694
-1.06061,-0.757576,1.27489
-2.27273,-1.06061,1.46837
-4.09091,1.36364,1.74132
-3.18182,1.36364,1.32326
-2.87879,1.36364,3.05767
-2.57576,1.36364,2.19738
-2.27273,1.36364,1.63767
5,0.757576,1.0676
5,-3.78788,3.05767
-1.9697,1.36364,3.15787
-1.66667,1.36364,2.75363
2.57576,1.06061,2.16283
-0.757576,1.36364,2.3494
5,1.06061,1.95208
1.36364,-1.9697,0.694455
-0.454545,1.36364,1.2438
-5,-2.57576,2.61543
-0.151515,1.36364,3.10259
0.151515,1.36364,2.78128
1.06061,1.36364,1.66531
-0.757576,-2.27273,0.162385
1.66667,1.36364,1.59967
-3.18182,-0.151515,0.43533
-5,0.757576,1.67568
-5,-3.78788,3.2166
-2.87879,-4.09091,0
-2.87879,-0.757576,0.71864
1.9697,1.36364,1.26108
2.27273,1.36364,1.91753
2.57576,1.36364,2.53252
2.87879,1.36364,0.691
3.18182,1.36364,0.625355
-1.06061,-2.87879,2.09718
3.78788,1.36364,0.051825
4.39394,1.36364,0.190025
4.69697,1.36364,1.06414
5,1.36364,1.16434
4.69697,-1.36364,0.134745
-5,1.06061,1.43728
-4.69697,1.06061,1.50293
-3.78788,1.06061,1.73786
4.09091,-2.87879,0.279855
0.151515,-4.09091,0
-3.48485,1.06061,1.68604
0.151515,-0.757576,0.35932
-2.87879,1.06061,1.11597
0.757576,-2.57576,1.04341
-2.27273,1.06061,1.8346
2.27273,0.454545,1.67222
-1.9697,1.06061,2.5567
-1.06061,1.06061,0
3.18182,-1.06061,0.08983
-0.151515,1.06061,3.26843
1.9697,1.06061,1.18852
-2.87879,-2.87879,0.708275
2.87879,1.06061,1.62731
-4.69697,-2.87879,0
3.48485,1.06061,1.78969
3.78788,1.06061,1.16434
4.69697,1.06061,1.18161
-4.39394,0.757576,1.4891
-4.39394,-3.78788,3.22697
0.757576,-4.69697,1.1367
-4.09091,0.757576,1.65495
-4.09091,-3.78788,0
-3.78788,0.757576,1.81387
3.78788,-1.66667,0.03455
-3.78788,-3.78788,0
-3.18182,0.757576,0.99504
-3.18182,-3.78788,0
-2.57576,0.757576,1.92098
-2.57576,-3.78788,0
-2.27273,0.757576,2.51524
-2.27273,-3.78788,0
-1.9697,0.757576,0.98813
-1.9697,-3.78788,0
1.06061,-3.18182,0.874115
-1.06061,0.757576,2.09718
-1.06061,-3.78788,0
1.06061,0.757576,2.35977
1.06061,-3.78788,0
-4.69697,0.454545,1.40964
1.9697,0.757576,2.78128
1.9697,-3.78788,2.49451
2.27273,0.757576,1.81387
-3.18182,0.454545,0.90521
0.454545,-0.454545,1.57202
1.36364,-1.66667,0.76701
2.27273,-3.78788,2.5256
0.454545,-5,3.53447
3.18182,0.757576,0.590805
3.18182,-3.78788,0
3.48485,0.757576,0.65645
1.06061,-0.454545,1.40964
3.48485,-3.78788,1.37163
-2.57576,-1.9697,0.217665
3.78788,0.757576,1.0676
3.78788,-3.78788,2.0039
-5,0.454545,1.79314
-4.39394,0.454545,1.4822
-1.06061,-1.66667,0.127835
0.151515,-1.9697,0.21421
-4.09091,0.454545,1.64804
-3.78788,0.454545,1.7275
-3.48485,0.454545,1.77933
-2.87879,0.454545,0.45606
-2.57576,0.454545,2.12137
-2.27273,0.454545,1.52366
4.39394,-2.57576,0.252215
-1.9697,0.454545,1.9348
-1.66667,0.454545,1.2058
1.66667,-5,2.90565
-1.06061,0.454545,0.563165
-0.757576,0.454545,0.749735
-0.454545,0.454545,1.05032
-0.151515,0.454545,2.05227
0.151515,0.454545,1.85533
0.757576,0.454545,0.998495
1.06061,0.454545,1.02268
1.66667,0.454545,2.27339
1.9697,0.454545,2.91948
2.57576,0.454545,2.15937
-5,-2.27273,2.2803
3.18182,0.454545,0.18657
3.48485,0.454545,0
4.09091,0.454545,0
4.39394,0.454545,0.15893
2.87879,-0.454545,0.314405
1.06061,-2.27273,0.811925
5,0.454545,0.272945
-5,-0.151515,1.46147
-4.39394,-0.151515,1.5513
-4.09091,-0.151515,1.71022
-3.78788,-0.151515,1.65495
-0.757576,-2.57576,0.20039
-3.48485,-0.151515,1.66531
-2.57576,-0.151515,1.76896
-1.66667,-2.27273,0.335135
-2.27273,-4.69697,0
-1.9697,-0.151515,1.27489
-0.757576,-0.151515,1.18161
-0.454545,-0.151515,1.24035
-1.9697,-2.57576,1.11942
-1.66667,-1.9697,0.15202
4.39394,-2.87879,0.314405
-0.151515,-0.151515,2.06263
0.757576,-0.151515,2.2112
1.66667,-0.151515,1.78278
1.9697,-0.151515,2.36322
2.87879,-0.151515,0.086375
3.78788,-0.151515,0
4.39394,-0.151515,0.072555
-4.69697,-1.06061,1.4822
-1.36364,-4.39394,1.1436
